trip_id,datetime,city,driver_id,distance_km,duration_min,surge_multiplier,fare_uzs,status,payment_method,rating
T000720,2024-01-16 10:37:00,Andijon,D0125,1.3,3.0,1.0,7 000,Completed,card,4.8
T003042,2024-02-07 14:54:00,Toshkent,D0004,3.2,9.0,1.0,15 000,COMPLETED,card,4.3
T003952,2024-01-08 08:36:00,Namangan,D0002,0.0,28.0,1.5,37 000,completed,cash,5.0
T001844,2024-03-10 20:11:00,Toshkent,D0244,2.6,5.0,1.0,8 900,Completed,wallet,4.8
T002063,2024-03-15 06:55:00,Toshkent,D0096,2.7,7.0,1.0,9 000,completed,card,4.5
T003526,2024-02-14 17:21:00,Samarqand,D0280,5.5,9.0,1.0,13 200,completed,card,4.1
T000774,2024-01-31 04:39:00,Samarqand,D0189,5.7,14.0,1.0,13 600,COMPLETED,cash,5.0
T002981,2024-03-11 07:08:00,Toshkent,D0063,22.6,94.0,1.0,38 900,completed,cash,4.5
T001261,2024-01-17 19:51:00,Toshkent,D0095,4.0,12.0,2.0,33 600,completed,wallet,4.6
T004856,2024-01-31 07:41:00,Andijon,D0190,7.9,19.0,1.0,,Cancelled,,
T000622,2024-03-09 21:32:00,Namangan,D0207,4.7,10.0,1.0,18 300,completed,card,4.5
T000051,2024-01-12 19:40:00,Andijon,D0253,4.5,8.0,1.0,11 800,completed,cash,4.8
T004930,2024-03-02 22:49:00,Buxoro,D0273,5.4,15.0,1.0,13 100,completed,card,4.4
T003368,2024-01-23 17:52:00,Andijon,D0141,5.6,11.0,1.0,13 400,completed,cash,4.6
T004681,2024-01-06 07:26:00,Buxoro,D0276,7.0,16.0,1.0,15 500,completed,card,4.5
T001714,2024-03-07 19:56:00,Andijon,D0213,6.2,13.0,1.3,18 600,completed,card,4.9
T002366,2024-01-29 07:40:00,Samarqand,D0117,6.0,45.0,1.0,21 200,Completed,card,4.2
T001921,2024-01-15 08:46:00,Toshkent,D0108,14.5,42.0,1.0,,canceled,,
T002515,2024-01-23 02:26:00,Toshkent,D0182,3.6,19.0,1.0,10 400,completed,wallet,4.9
T002699,2024-03-07 00:38:00,Samarqand,D0164,9.0,14.0,1.0,18 500,COMPLETED,card,5.0
T000194,2024-01-27 19:18:00,Toshkent,D0154,8.2,17.0,1.5,26 000,COMPLETED,wallet,5.0
T004534,2024-02-29 09:43:00,Samarqand,D0052,5.2,12.0,1.3,16 600,completed,wallet,4.8
T000192,2024-03-14 17:50:00,Andijon,D0104,4.4,17.0,1.0,11 600,completed,cash,4.1
T000665,2024-03-11 07:15:00,Buxoro,D0273,4.0,10.0,1.0,11 000,Completed,wallet,5.0
T003400,2024-01-03 16:23:00,Buxoro,D0064,4.3,7.0,1.0,27 000,completed,card,4.2
T003819,2024-03-01 18:56:00,Namangan,D0033,2.9,9.0,1.5,21 600,completed,card,5.0
T003989,2024-01-11 20:25:00,Samarqand,D0208,3.2,8.0,1.0,,COMPLETED,card,4.8
T001721,2024-02-18 20:35:00,Buxoro,D0236,4.8,9.0,1.0,12 200,COMPLETED,cash,4.7
T002173,2024-03-17 20:23:00,Toshkent,D0030,2.1,3.0,1.0,8 200,Completed,cash,4.8
T003328,2024-01-27 18:56:00,Andijon,D0177,10.7,20.0,1.5,47 300,COMPLETED,cash,4.6
T003642,2024-01-17 08:42:00,Toshkent,D0167,10.0,16.0,1.5,30 000,completed,cash,4.7
T002461,2024-02-10 10:14:00,Andijon,D0190,10.1,23.0,1.0,20 200,Completed,wallet,5.0
T000419,2024-01-25 13:26:00,Toshkent,D0214,9.7,34.0,1.0,19 600,COMPLETED,card,4.2
T002795,2024-01-16 09:38:00,Andijon,D0175,10.7,21.0,1.3,41 000,Completed,card,4.3
T000167,2024-03-27 20:24:00,Toshkent,D0130,4.9,12.0,1.0,,Cancelled,,
T002257,2024-02-03 08:08:00,Toshkent,D0215,16.1,31.0,1.3,37 900,COMPLETED,wallet,5.0
T002328,2024-02-13 01:56:00,Buxoro,D0148,5.2,9.0,1.0,19 400,Completed,card,5.0
T001475,2024-02-03 17:01:00,Samarqand,D0243,4.4,8.0,1.0,11 600,completed,card,5.0
T000647,2024-01-06 08:47:00,Andijon,D0281,9.9,30.0,1.3,25 800,Completed,card,3.1
T002450,2024-02-17 09:50:00,Buxoro,D0105,12.1,35.0,1.5,51 900,COMPLETED,card,4.7
T000958,2024-02-20 04:12:00,Namangan,D0021,3.3,7.0,1.0,10 000,COMPLETED,card,4.1
T004857,2024-02-12 15:18:00,Toshkent,D0286,6.3,15.0,1.0,14 400,completed,card,5.0
T003475,2024-01-19 08:45:00,Toshkent,D0259,7.6,22.0,1.3,32 100,Completed,cash,4.7
T002262,2024-02-25 05:15:00,Toshkent,D0235,5.5,9.0,1.0,20 100,completed,card,5.0
T002581,2024-03-12 16:58:00,Buxoro,D0274,15.5,35.0,1.0,28 200,completed,card,4.3
T004854,2024-02-04 20:50:00,Toshkent,D0133,6.9,12.0,1.0,15 400,Completed,wallet,5.0
T003102,2024-03-19 18:58:00,Andijon,D0211,5.5,20.0,1.5,,canceled,,
T004123,2024-02-22 07:46:00,Buxoro,D0227,5.3,8.0,1.0,13 000,completed,card,4.5
T000749,2024-02-02 05:56:00,Toshkent,D0062,2.6,6.0,1.0,8 900,Completed,cash,3.8
T003684,2024-03-30 09:10:00,Buxoro,D0001,-1.0,5.0,1.5,18 900,completed,card,5.0
T002256,2024-02-21 17:47:00,Toshkent,D0037,9.9,24.0,1.0,19 800,Completed,cash,5.0
T003442,2024-02-21 07:12:00,Toshkent,D0252,4.5,9.0,1.0,11 800,completed,card,5.0
T003172,2024-01-16 10:24:00,Samarqand,D0045,4.8,11.0,1.0,12 200,Completed,card,5.0
T004174,2024-01-15 15:10:00,Toshkent,D0097,2.4,6.0,1.0,20 400,completed,cash,4.5
T002177,2024-03-24 09:08:00,Toshkent,D0135,6.1,,1.3,18 400,Completed,card,5.0
T001397,2024-03-27 19:02:00,Namangan,D0226,1.8,6.0,1.0,7 700,COMPLETED,cash,4.7
T000735,2024-03-15 20:48:00,Toshkent,D0060,5.3,9.0,1.0,13 000,Completed,card,4.3
T003019,2024-02-01 19:57:00,Samarqand,D0089,3.4,6.0,1.3,13 100,completed,cash,4.1
T000172,2024-01-23 05:49:00,Toshkent,D0058,4.8,8.0,1.0,12 200,COMPLETED,cash,4.1
T001003,2024-03-02 17:41:00,Samarqand,D0047,3.4,6.0,1.0,10 100,completed,wallet,4.2
T000688,2024-01-11 09:31:00,Toshkent,D0198,15.9,32.0,1.0,,cancelled,,
T001001,2024-03-23 18:50:00,Toshkent,D0065,12.6,31.0,1.3,31 100,Completed,card,4.7
T004708,2024-01-31 10:17:00,Toshkent,D0119,3.2,7.0,1.0,9 800,Completed,cash,4.6
T003353,2024-03-18 18:21:00,Toshkent,D0192,4.8,13.0,1.0,,cancelled,,
T001015,2024-02-07 17:07:00,Toshkent,D0073,11.1,33.0,1.0,,cancelled,,
T003285,2024-03-06 18:12:00,Samarqand,D0212,15.8,26.0,1.0,42 800,COMPLETED,wallet,5.0
T000250,2024-02-22 07:01:00,Toshkent,D0108,7.5,18.0,1.0,38 200,completed,wallet,4.7
T002558,2024-03-22 09:28:00,Andijon,D0213,2.8,7.0,1.0,9 200,COMPLETED,wallet,4.8
T003691,2024-01-28 12:59:00,Toshkent,D0239,2.4,5.0,1.0,,completed,card,3.6
T004339,2024-02-19 09:36:00,Toshkent,D0235,3.7,8.0,1.0,16 100,completed,cash,3.8
T003963,2024-01-09 20:19:00,Samarqand,D0245,4.3,10.0,1.0,11 400,completed,wallet,4.2
T002855,2024-02-13 03:15:00,Toshkent,D0079,5.9,14.0,1.0,13 800,completed,cash,4.7
T000413,2024-02-17 17:27:00,Buxoro,D0258,6.2,10.0,1.0,33 700,Completed,wallet,4.1
T002775,2024-01-22 09:13:00,Toshkent,D0214,9.0,17.0,1.3,,cancelled,,
T003487,2024-03-26 20:03:00,Toshkent,D0162,8.3,19.0,1.0,26 300,completed,card,4.5
T000686,2024-02-17 16:39:00,Andijon,D0204,2.0,3.0,1.0,8 000,completed,card,3.9
T001039,2024-03-20 14:11:00,Samarqand,D0047,3.5,5.0,1.0,10 200,Completed,cash,4.4
T004353,2024-03-26 18:40:00,Toshkent,D0254,4.4,9.0,1.0,11 600,completed,wallet,4.9
T003379,2024-03-21 09:37:00,Buxoro,D0069,6.7,13.0,1.3,19 600,Completed,cash,5.0
T004453,2024-01-10 09:41:00,Toshkent,D0034,3.5,7.0,1.3,13 300,completed,card,5.0
T003248,2024-03-26 10:38:00,Samarqand,D0275,2.0,4.0,1.0,12 400,COMPLETED,card,4.7
T002429,2024-02-27 20:36:00,Toshkent,D0233,1.9,4.0,1.0,7 800,Completed,card,4.0
T004965,2024-03-01 19:42:00,Samarqand,D0180,4.4,11.0,1.0,11 600,completed,card,4.3
T002547,2024-02-12 09:20:00,Andijon,D0253,3.5,19.0,1.3,13 300,completed,wallet,3.9
T001504,2024-03-24 17:21:00,Toshkent,D0038,9.9,21.0,1.0,46 600,completed,card,5.0
T001778,2024-01-20 10:45:00,Samarqand,D0251,4.1,8.0,1.0,17 000,completed,cash,4.6
T004536,2024-03-29 19:51:00,Buxoro,D0271,6.9,17.0,1.5,34 800,completed,card,4.7
T004718,2024-02-27 17:40:00,Toshkent,D0072,8.3,27.0,1.0,17 400,completed,card,3.7
T000347,2024-02-15 02:57:00,Samarqand,D0208,3.7,7.0,1.0,,cancelled,,
T002665,2024-01-01 07:49:00,Buxoro,D0300,6.2,14.0,1.0,33 700,completed,cash,4.1
T003010,2024-03-06 17:26:00,Buxoro,D0109,2.8,8.0,1.0,9 200,completed,card,4.7
T004345,2024-01-30 10:23:00,Buxoro,D0258,4.0,8.0,1.0,26 000,completed,card,4.4
T002425,2024-02-11 18:09:00,Toshkent,D0246,5.3,10.0,1.5,19 400,COMPLETED,wallet,4.2
T000155,2024-01-07 20:16:00,Toshkent,D0023,6.6,20.0,1.0,14 900,Completed,wallet,5.0
T001925,2024-01-09 20:44:00,Namangan,D0143,5.9,24.0,1.0,13 800,Completed,card,4.7
T003206,2024-03-24 20:02:00,Toshkent,D0218,3.9,6.0,1.0,16 600,completed,wallet,4.9
T001495,2024-02-14 22:41:00,Toshkent,D0114,3.4,7.0,1.0,,cancelled,,
T004862,2024-03-02 18:42:00,Toshkent,D0127,2.8,5.0,2.0,18 400,completed,cash,3.6
T000350,2024-02-26 08:21:00,Toshkent,D0019,3.7,9.0,2.0,21 100,completed,card,4.7
T000589,2024-03-09 18:50:00,Toshkent,D0174,8.6,19.0,1.0,17 900,Completed,cash,3.9
T001886,2024-02-26 17:39:00,Buxoro,D0297,10.2,22.0,1.0,20 300,completed,card,3.7
T001052,2024-03-03 19:48:00,Samarqand,D0088,4.1,11.0,1.0,,canceled,,
T003234,2024-03-08 09:04:00,Toshkent,D0120,7.2,13.0,1.0,,no_show,,
T000115,2024-02-28 17:28:00,Toshkent,D0038,6.6,19.0,1.0,35 100,Completed,cash,4.6
T002181,2024-03-27 17:22:00,Samarqand,D0047,5.7,12.0,1.0,13 600,Completed,cash,3.8
T002801,2024-01-29 18:46:00,Buxoro,D0080,5.3,10.0,1.0,13 000,COMPLETED,card,4.9
T003842,2024-03-18 20:13:00,Toshkent,D0007,11.7,26.0,1.0,22 600,completed,card,4.4
T002628,2024-03-02 09:12:00,Samarqand,D0261,6.6,18.0,1.3,19 400,Completed,card,4.4
T002009,2024-03-24 22:29:00,Buxoro,D0105,2.4,5.0,1.0,13 300,completed,wallet,5.0
T000542,2024-03-29 00:26:00,Toshkent,D0049,5.0,19.0,1.0,12 500,completed,cash,4.0
T003697,2024-01-14 10:28:00,Toshkent,D0171,7.2,20.0,1.0,15 800,completed,cash,4.3
T002827,2024-02-20 09:43:00,Andijon,D0118,1.5,4.0,1.3,22 400,completed,cash,4.8
T002261,2024-03-15 11:41:00,Toshkent,D0201,4.3,12.0,1.0,17 500,completed,card,4.0
T001683,2024-03-01 07:12:00,Toshkent,D0090,9.6,28.0,1.0,19 400,completed,wallet,4.1
T001304,2024-02-23 08:47:00,Toshkent,D0034,3.8,7.0,2.0,21 400,Completed,wallet,3.9
T001315,2024-01-23 20:11:00,Toshkent,D0162,5.0,11.0,1.0,19 000,completed,wallet,5.0
T002876,2024-03-10 17:16:00,Samarqand,D0245,2.6,5.0,1.0,8 900,completed,cash,3.5
T004304,2024-02-16 18:18:00,Namangan,D0216,2.5,8.0,1.0,,no_show,,
T004176,2024-03-04 09:38:00,Toshkent,D0239,14.1,42.0,1.0,26 200,completed,cash,4.3
T003846,2024-03-27 17:10:00,Andijon,D0249,5.4,13.0,1.0,13 100,completed,card,3.9
T001898,2024-03-27 20:20:00,Toshkent,D0009,2.9,11.0,1.0,9 400,COMPLETED,card,4.9
T002359,2024-03-13 18:09:00,Toshkent,D0034,3.0,,1.5,14 200,completed,cash,5.0
T002585,2024-01-04 18:13:00,Samarqand,D0275,6.1,16.0,1.5,32 100,completed,cash,5.0
T003377,2024-03-01 18:43:00,Andijon,D0068,5.3,10.0,1.0,13 000,Completed,card,4.4
T004326,2024-02-06 10:57:00,Toshkent,D0222,5.4,10.0,1.0,13 100,Completed,cash,4.4
T000122,2024-01-18 18:40:00,Andijon,D0067,2.0,4.0,1.3,10 400,completed,card,5.0
T001532,2024-03-02 20:46:00,Toshkent,D0192,3.4,7.0,1.0,10 100,Completed,wallet,4.2
T000781,2024-02-07 17:59:00,Toshkent,D0242,2.0,4.0,1.0,19 000,completed,card,4.3
T000339,2024-02-26 18:15:00,Namangan,D0196,3.6,8.0,1.0,24 600,COMPLETED,cash,4.2
T003796,2024-03-04 19:01:00,Samarqand,D0268,2.3,17.0,1.0,8 400,Completed,card,4.9
T004368,2024-02-02 08:38:00,Samarqand,D0268,2.3,4.0,1.0,8 400,completed,cash,4.2
T000377,2024-01-19 20:48:00,Namangan,D0197,7.8,,1.0,16 700,COMPLETED,wallet,3.9
T004036,2024-02-11 15:05:00,Andijon,D0177,8.5,20.0,1.0,26 700,Completed,cash,4.9
T000244,2024-01-17 10:01:00,Samarqand,D0045,6.7,15.0,1.0,15 000,completed,wallet,4.4
T002444,2024-01-06 08:49:00,Toshkent,D0108,2.7,4.0,1.0,21 400,completed,cash,5.0
T004518,2024-03-13 20:17:00,Buxoro,D0083,3.7,7.0,1.0,10 600,completed,wallet,3.9
T003281,2024-03-29 17:16:00,Toshkent,D0290,4.0,11.0,1.0,26 000,Completed,cash,5.0
T002915,2024-02-29 17:03:00,Toshkent,D0053,3.7,7.0,1.0,10 600,completed,card,3.7
T000489,2024-02-10 07:51:00,Buxoro,D0134,1.5,3.0,1.0,7 200,completed,cash,5.0
T001208,2024-03-26 20:41:00,Buxoro,D0137,2.6,6.0,1.0,,Cancelled,,
T004048,2024-01-24 09:32:00,Namangan,D0029,5.0,14.0,1.5,18 800,completed,cash,4.7
T000996,2024-02-07 19:10:00,Toshkent,D0172,9.9,21.0,1.0,29 800,completed,wallet,4.3
T000702,2024-01-21 04:09:00,Andijon,D0190,16.4,42.0,1.0,29 600,Completed,wallet,4.3
T002527,2024-03-11 00:38:00,Toshkent,D0111,6.2,12.0,1.0,14 300,Completed,card,4.7
T000603,2024-03-14 22:24:00,Toshkent,D0044,3.1,8.0,1.0,9 600,COMPLETED,card,4.7
T003564,2024-02-15 18:07:00,Samarqand,D0212,2.4,7.0,1.3,17 300,completed,cash,5.0
T000290,2024-02-09 21:56:00,Samarqand,D0011,4.1,13.0,1.0,11 200,completed,cash,5.0
T002017,2024-01-25 18:11:00,Namangan,D0284,3.2,14.0,1.3,12 700,completed,card,5.0
T000742,2024-03-30 19:24:00,Andijon,D0041,18.2,58.0,1.0,32 300,completed,cash,5.0
T004214,2024-01-13 09:40:00,Samarqand,D0298,5.4,15.0,1.5,19 600,completed,card,4.5
T003004,2024-01-31 07:08:00,Toshkent,D0037,1.1,4.0,1.0,6 600,Completed,card,4.1
T000535,2024-01-19 20:00:00,Andijon,D0281,7.7,19.0,1.0,16 600,COMPLETED,cash,5.0
T004999,2024-03-05 07:33:00,Toshkent,D0072,4.2,10.0,1.0,11 300,Completed,cash,5.0
T001502,2024-03-22 23:06:00,Toshkent,D0126,1.5,3.0,1.0,17 200,completed,card,3.6
T000112,2024-01-08 07:31:00,Namangan,D0152,11.0,26.0,1.0,21 500,completed,card,4.7
T001848,2024-03-25 17:33:00,Andijon,D0272,7.7,13.0,1.0,16 600,Completed,card,4.6
T000020,2024-02-04 20:43:00,Samarqand,D0025,3.8,7.0,1.0,10 700,Completed,cash,5.0
T004744,2024-03-12 23:08:00,Toshkent,D0203,3.0,7.0,1.0,14 600,completed,cash,4.7
T002790,2024-02-10 15:01:00,Toshkent,D0154,7.5,20.0,1.0,16 200,completed,card,5.0
T004662,2024-02-20 12:02:00,Toshkent,D0110,5.2,12.0,1.0,12 800,completed,card,4.8
T000186,2024-02-04 19:20:00,Samarqand,D0153,4.6,16.0,1.0,11 900,Completed,card,3.9
T003067,2024-03-12 00:33:00,Andijon,D0209,2.6,7.0,1.0,8 900,Completed,cash,3.8
T001890,2024-02-23 18:05:00,Toshkent,D0123,4.9,9.0,1.0,,cancelled,,
T001674,2024-02-18 10:04:00,Toshkent,D0203,10.9,25.0,1.0,32 000,COMPLETED,card,4.2
T002292,2024-01-28 20:18:00,Samarqand,D0018,9.2,21.0,1.0,28 200,completed,cash,4.7
T001708,2024-01-16 19:34:00,Toshkent,D0182,3.6,11.0,1.3,13 500,completed,card,4.6
T004351,2024-02-05 02:35:00,Namangan,D0255,7.2,15.0,1.0,23 800,completed,cash,5.0
T002124,2024-03-25 09:34:00,Andijon,D0193,6.1,16.0,1.0,,cancelled,,
T000852,2024-01-04 08:43:00,Buxoro,D0137,2.9,7.0,1.0,9 400,Completed,card,3.8
T000216,2024-01-26 18:50:00,Toshkent,D0229,3.9,15.0,1.5,,cancelled,,
T000944,2024-01-15 17:23:00,Toshkent,D0079,4.5,11.0,1.0,11 800,completed,card,5.0
T001816,2024-02-22 17:25:00,Toshkent,D0224,14.2,40.0,1.0,26 300,completed,wallet,5.0
T001277,2024-03-21 19:21:00,Toshkent,D0290,5.0,13.0,1.5,44 200,completed,card,4.6
T001792,2024-03-11 01:43:00,Toshkent,D0142,3.6,7.0,1.0,10 400,Completed,wallet,4.2
T002213,2024-02-19 09:48:00,Buxoro,D0273,5.9,16.0,1.0,13 800,completed,cash,4.5
T000592,2024-01-14 07:14:00,Toshkent,D0290,15.8,31.0,1.0,67 300,completed,cash,4.6
T003590,2024-01-29 18:59:00,Andijon,D0213,2.2,5.0,1.3,10 800,Completed,cash,4.0
T001510,2024-03-02 18:31:00,Samarqand,D0153,1.9,4.0,1.0,7 800,Completed,cash,5.0
T000505,2024-01-29 19:53:00,Toshkent,D0187,7.2,17.0,1.3,,Cancelled,,
T000228,2024-02-24 18:06:00,Samarqand,D0052,7.3,13.0,1.5,23 900,completed,card,4.8
T004074,2024-01-14 09:15:00,Namangan,D0033,9.2,20.0,1.3,36 700,completed,card,3.4
T002954,2024-02-14 09:17:00,Namangan,D0021,3.5,9.0,1.5,15 400,completed,card,5.0
T002872,2024-02-13 22:18:00,Toshkent,D0142,3.7,9.0,1.0,,cancelled,,
T002485,2024-01-07 16:28:00,Andijon,D0054,5.1,9.0,1.0,12 600,Completed,wallet,3.9
T000970,2024-01-25 18:58:00,Toshkent,D0199,9.1,23.0,1.3,24 200,Completed,cash,4.9
T001389,2024-01-27 20:56:00,Toshkent,D0145,3.2,6.0,1.0,23 200,completed,card,4.3
T003926,2024-03-22 10:15:00,Buxoro,D0178,5.1,14.0,1.0,12 600,completed,card,4.5
T000057,2024-01-27 18:54:00,Andijon,D0039,4.8,14.0,1.3,24 100,completed,cash,4.2
T004664,2024-02-13 11:46:00,Buxoro,D0166,7.4,27.0,1.0,16 100,Completed,wallet,4.2
T003891,2024-01-05 20:41:00,Samarqand,D0208,6.2,13.0,1.0,,cancelled,,
T000655,2024-03-16 16:59:00,Toshkent,D0138,3.0,8.0,1.0,,cancelled,,
T001564,2024-03-08 19:54:00,Toshkent,D0060,4.8,12.0,1.5,,canceled,,
T001494,2024-03-05 09:39:00,Namangan,D0143,6.5,12.0,2.0,29 500,Completed,card,5.0
T003541,2024-01-27 19:27:00,Andijon,D0041,2.9,5.0,2.0,18 700,COMPLETED,cash,4.2
T001461,2024-02-06 06:45:00,Toshkent,D0290,3.3,25.0,1.0,23 600,Completed,card,4.1
T000999,2024-02-15 10:26:00,Andijon,D0204,5.7,17.0,1.0,13 600,COMPLETED,cash,4.7
T003933,2024-02-29 18:10:00,Toshkent,D0127,19.5,43.0,1.5,51 400,COMPLETED,wallet,3.6
T003813,2024-01-30 10:30:00,Toshkent,D0241,4.3,9.0,1.0,27 000,COMPLETED,card,5.0
T000223,2024-03-02 06:06:00,Samarqand,D0012,7.8,16.0,1.0,25 200,completed,wallet,4.3
T000022,2024-03-27 21:34:00,Toshkent,D0048,6.3,12.0,1.0,21 900,Completed,cash,4.7
T003905,2024-02-10 10:18:00,Toshkent,D0195,3.7,11.0,1.0,16 100,completed,cash,4.2
T003520,2024-01-20 19:25:00,Samarqand,D0011,4.8,14.0,1.0,,COMPLETED,wallet,5.0
T004793,2024-03-19 20:16:00,Namangan,D0042,2.9,6.0,1.0,,cancelled,,
T000620,2024-01-27 09:36:00,Buxoro,D0069,6.7,18.0,1.5,22 600,Completed,card,5.0
T001902,2024-03-06 18:16:00,Andijon,D0260,1.1,3.0,1.3,13 500,COMPLETED,cash,5.0
T003834,2024-02-02 23:04:00,Namangan,D0144,9.4,22.0,1.0,19 100,Completed,card,4.4
T003690,2024-02-05 08:27:00,Namangan,D0116,2.8,6.0,2.0,28 300,Completed,card,5.0
T002403,2024-02-02 18:38:00,Buxoro,D0082,2.0,4.0,1.0,8 000,completed,card,4.6
T001021,2024-02-02 17:38:00,Samarqand,D0153,17.2,29.0,1.0,30 800,Completed,card,4.5
T004796,2024-01-08 19:22:00,Toshkent,D0098,4.0,8.0,1.0,11 000,completed,card,4.3
T002860,2024-01-08 19:21:00,Samarqand,D0245,2.8,7.0,1.0,9 200,completed,wallet,5.0
T001300,2024-03-03 17:37:00,Toshkent,D0218,6.3,10.0,1.0,21 900,completed,card,4.3
T003979,2024-01-02 03:45:00,Namangan,D0216,6.7,15.0,1.0,,cancelled,,
T002242,2024-02-13 09:09:00,Toshkent,D0098,12.5,50.0,1.3,,completed,wallet,4.9
T000706,2024-02-07 20:23:00,Andijon,D0209,1.5,4.0,1.0,7 200,completed,cash,4.1
T004980,2024-02-09 08:31:00,Samarqand,D0164,5.1,12.0,1.3,16 400,completed,cash,4.9
T001519,2024-01-02 01:37:00,Andijon,D0124,2.6,5.0,1.0,8 900,COMPLETED,cash,5.0
T003975,2024-01-05 10:57:00,Samarqand,D0089,13.1,28.0,1.0,24 600,Completed,wallet,3.4
T004756,2024-01-29 15:48:00,Buxoro,D0094,3.9,13.0,1.0,,canceled,,
T000608,2024-03-09 07:58:00,Toshkent,D0167,6.7,20.0,1.0,15 000,Completed,card,4.5
T004849,2024-01-14 10:57:00,Toshkent,D0095,3.6,7.0,1.0,,cancelled,,
T002034,2024-03-02 23:28:00,Toshkent,D0019,7.8,20.0,1.0,16 700,Completed,card,5.0
T004828,2024-01-14 09:56:00,Andijon,D0287,5.5,11.0,1.5,19 900,completed,card,4.6
T004671,2024-02-22 00:45:00,Buxoro,D0069,3.2,8.0,1.0,9 800,Completed,cash,4.7
T000408,2024-03-30 08:01:00,Namangan,D0122,2.7,11.0,1.0,13 900,completed,cash,4.7
T001915,2024-02-22 15:43:00,Buxoro,D0274,5.5,14.0,1.0,13 200,completed,wallet,4.4
T000812,2024-02-24 19:24:00,Toshkent,D0090,5.0,8.0,1.3,16 200,Completed,card,4.0
